#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      random.bin|  2.94e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 6680 times
      rgb_lagged_sum|  30|   1000000|     100|0.05993270|  PASSED  
# The file file_input_raw was rewound 7071 times
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 7474 times
      rgb_lagged_sum|  32|   1000000|     100|0.03910486|  PASSED  
# The file file_input_raw was rewound 7475 times
     rgb_kstest_test|   0|     10000|    1000|0.31474513|  PASSED  
# The file file_input_raw was rewound 7494 times
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
# The file file_input_raw was rewound 7495 times
             dab_dct| 256|     50000|       1|0.55363648|  PASSED  
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 7509 times
        dab_filltree|  32|  15000000|       1|0.00126127|   WEAK  
        dab_filltree|  32|  15000000|       1|0.00000008|  FAILED  
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 7513 times
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 7521 times
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
